Date,Open,High,Low,Close ,Adj Close ,Volume,Month-over-month
"Jan 2, 2026",316.99,322.5,310.33,315.15,315.15,31936147,0.00481443693406458
"Dec 1, 2025",317.7,323.16,296.12,313.85,313.64,661794000,-0.0197831046660626
"Nov 1, 2025",282.18,328.83,270.7,320.18,319.97,855278300,0.138642752926942
"Oct 1, 2025",240.75,291.59,235.84,281.19,281.01,729575900,0.157753790375742
"Sep 1, 2025",208.44,256,206.2,243.1,242.72,829465500,0.141781917395804
"Aug 1, 2025",189.03,214.65,187.82,212.91,212.58,617570900,0.109498956158664
"Jul 1, 2025",175.74,197.95,172.77,191.9,191.6,860114400,0.0902469557300556
"Jun 1, 2025",167.84,181.23,162,176.23,175.74,847382400,0.0260991417060781
"May 1, 2025",160.45,176.77,147.84,171.74,171.27,942494200,0.0815231118969437
"Apr 1, 2025",153.62,166.1,140.53,158.8,158.36,842648300,0.0280446637237082
"Mar 1, 2025",171.93,174.97,150.66,154.64,154.04,732152300,-0.0918523758990686
"Feb 1, 2025",200.69,207.05,166.77,170.28,169.62,629376900,-0.165338057277827
"Jan 1, 2025",190.65,205.48,187.36,204.02,203.22,500334600,0.0789487655959651
"Dec 1, 2024",168.77,201.42,168.57,189.3,188.35,645610200,0.120464009518144
"Nov 1, 2024",170.07,182.49,163.7,168.95,168.1,529919300,-0.0126284875183554
"Oct 1, 2024",167.69,182.02,159.74,171.11,170.25,569309100,0.0330703883495145
"Sep 1, 2024",161.72,166.15,147.22,165.85,164.8,532543100,0.0151533817913023
"Aug 1, 2024",170.25,174.05,154.93,163.38,162.34,550739500,-0.0475799354649457
"Jul 1, 2024",183.03,191.75,164.06,171.54,170.45,526128300,-0.0571412766898994
"Jun 1, 2024",172.54,186.05,171.16,182.15,180.78,460108700,0.0558962677413701
"May 1, 2024",164.3,178.77,163.05,172.5,171.21,542386500,0.0597301312205991
"Apr 1, 2024",150.69,174.71,149.6,162.78,161.56,659848400,0.0785046728971961
"Mar 1, 2024",138.43,152.26,130.67,150.93,149.8,672715700,0.0900887789259208
"Feb 1, 2024",142.12,149.44,135.41,138.46,137.42,647623800,-0.0117224020136644
"Jan 1, 2024",138.55,153.78,135.15,140.1,139.05,581871000,0.00295729948066947
"Dec 1, 2023",131.86,142.68,127.9,139.69,138.64,619995600,0.0539759768891592
"Nov 1, 2023",124.07,139.42,123.72,132.53,131.54,535233300,0.068128298822574
"Oct 1, 2023",131.21,141.22,120.21,124.08,123.15,680747700,-0.0518170619032953
"Sep 1, 2023",137.46,139.16,127.22,130.86,129.88,477599300,-0.038993710691824
