Date,Open,High,Low,Close ,Adj Close ,Volume
"Jan 2, 2026",337.15,337.74,334.61,336.31,336.31,5114886
"Dec 1, 2025",333.96,340.33,330.63,337.85,336.89,79601000
"Dec 22, 2025",0.951 Dividend,,,,,
"Nov 1, 2025",337,337.14,319.44,336.31,335.36,69399800
"Oct 1, 2025",326.93,339.06,321.62,335.42,334.47,111049200
"Sep 29, 2025",0.907 Dividend,,,,,
"Sep 1, 2025",314.52,330.36,313.3,328.17,326.33,74811500
"Aug 1, 2025",307.98,320.4,304.4,318.2,316.42,78851000
"Jul 1, 2025",303.04,314.84,302.8,310.89,309.15,78611900
"Jun 30, 2025",0.913 Dividend,,,,,
"Jun 1, 2025",289.34,304.53,287.58,303.93,301.32,58622500
"May 1, 2025",275.28,293.13,273.58,289.88,287.39,64853800
"Apr 1, 2025",273.9,279.25,236.42,272.82,270.48,130498200
"Mar 27, 2025",0.985 Dividend,,,,,
"Mar 1, 2025",293.91,294.72,268.73,274.84,271.53,85943700
"Feb 1, 2025",293.32,303.39,287.35,292.96,289.43,59360700
"Jan 1, 2025",291.45,302.67,284.63,298.6,295,66180600
"Dec 23, 2024",0.941 Dividend,,,,,
"Dec 1, 2024",300.3,302.95,288.11,289.81,285.4,66917200
"Nov 1, 2024",282.52,300.38,280.87,299.86,295.29,62056600
"Oct 1, 2024",283,289.7,278.87,281.03,276.75,67068400
"Sep 27, 2024",0.871 Dividend,,,,,
"Sep 1, 2024",275.72,284.35,265.92,283.16,277.99,52992700
"Aug 1, 2024",273.25,278.53,251,278.38,273.3,66499400
"Jul 1, 2024",268.49,279.21,265.95,272.57,267.59,63276900
"Jun 28, 2024",0.952 Dividend,,,,,
"Jun 1, 2024",261.66,270.41,258.08,267.51,261.7,49292300
"May 1, 2024",248.46,263.92,247.6,260.44,254.78,60986200
"Apr 1, 2024",260.32,260.38,244.57,248.61,243.21,69259200
"Mar 22, 2024",0.911 Dividend,,,,,
"Mar 1, 2024",253.04,261.07,250.91,259.9,253.36,64908700
"Feb 1, 2024",240.9,253.3,240.04,252.58,246.23,60155500
"Jan 1, 2024",235.65,244.34,232.4,239.87,233.84,74828200
"Dec 21, 2023",1.002 Dividend,,,,,
"Dec 1, 2023",225.99,238.74,225.59,237.22,230.27,77457100
"Nov 1, 2023",207.14,227.19,206.87,226.26,219.63,65160500
"Oct 1, 2023",212.2,217.38,202.44,206.79,200.73,80482900
"Sep 21, 2023",0.798 Dividend,,,,,
"Sep 1, 2023",225.34,225.78,209.84,212.41,205.43,59180400
"Aug 1, 2023",227.65,228,215.03,223.94,216.58,65991200
"Jul 1, 2023",220.28,228.97,216.83,228.35,220.85,55903100
"Jun 23, 2023",0.827 Dividend,,,,,
"Jun 1, 2023",207.3,221.42,206.65,220.28,212.23,63099700
"May 1, 2023",206,209.68,200.2,207.18,199.61,52889900
"Apr 1, 2023",203.72,206.83,200.41,206.3,198.76,52402400
"Mar 23, 2023",0.786 Dividend,,,,,
"Mar 1, 2023",199.38,204.98,190.18,204.1,195.85,76463200
"Feb 1, 2023",203.91,210.88,198.16,199.52,191.46,55379100
"Jan 1, 2023",192.38,205.05,188.93,204.43,196.17,70013800
"Dec 22, 2022",0.931 Dividend,,,,,
"Dec 1, 2022",204.83,205.63,187.38,191.19,182.59,97533700
"Nov 1, 2022",196,204.1,185.13,204.06,194.88,91878200
"Oct 1, 2022",181.52,195.53,174.84,194.03,185.3,90046300
"Sep 23, 2022",0.796 Dividend,,,,,
"Sep 1, 2022",197.4,206.99,179.28,179.47,170.67,101180700
"Aug 1, 2022",204.97,217.2,198.5,198.56,188.82,67305900
"Jul 1, 2022",188.19,206.78,185.58,206.25,196.14,62247100
"Jun 23, 2022",0.749 Dividend,,,,,
"Jun 1, 2022",207.67,209.2,181.67,188.62,178.66,106137600
"May 1, 2022",207.15,215.91,190.66,206.36,195.46,116251100
"Apr 1, 2022",228.66,230.88,206.71,206.88,195.95,83356400
"Mar 23, 2022",0.708 Dividend,,,,,
"Mar 1, 2022",220.62,233.36,209.27,227.67,214.97,108176300
"Feb 1, 2022",227.94,231.81,207,221.17,208.83,95583800
"Jan 1, 2022",242.42,244.06,212.1,226.81,214.16,119550700
"Dec 27, 2021",0.859 Dividend,,,,,
"Dec 1, 2021",236.41,243.78,229.02,241.44,227.16,89511000
"Nov 1, 2021",237.75,243.6,233.1,233.45,219.64,77295900
"Oct 1, 2021",223.1,237.19,220.54,236.91,222.9,63214700
"Sep 24, 2021",0.724 Dividend,,,,,
"Sep 1, 2021",233.82,234.65,221.94,222.06,208.27,77916600
"Aug 1, 2021",227.85,233.97,224.4,233.17,218.69,68525500
"Jul 1, 2021",223.4,228.75,217.82,226.69,212.61,76921700
"Jun 24, 2021",0.675 Dividend,,,,,
"Jun 1, 2021",219.53,223.4,216.08,222.82,208.34,69154400
"May 1, 2021",218.57,218.99,209.21,218.09,203.92,79672000
"Apr 1, 2021",207.99,219.65,207.56,217.1,203,83498600
"Mar 25, 2021",0.672 Dividend,,,,,
"Mar 1, 2021",203.15,209.3,194.11,206.69,192.62,102216200
"Feb 1, 2021",195.88,208.39,194.53,200.08,186.46,77506300
"Jan 1, 2021",195.39,202.34,189.76,193.99,180.78,95306100
"Dec 24, 2020",0.782 Dividend,,,,,
"Dec 1, 2020",189.17,194.95,187.8,194.64,180.66,84840200
"Nov 1, 2020",168.79,188.37,167.16,186.7,173.29,80250000
"Oct 1, 2020",171.72,180.64,165.02,166.99,154.99,62846300
"Sep 25, 2020",0.674 Dividend,,,,,
"Sep 1, 2020",177.69,181.67,162.85,170.31,157.43,71112500
"Aug 1, 2020",166.47,178.14,166.15,177.28,163.87,62221700
"Jul 1, 2020",156.9,166.2,156.61,165.52,153,61547400
"Jun 25, 2020",0.7 Dividend,,,,,
"Jun 1, 2020",153.62,164.2,149.85,156.53,144.03,103493900
"May 1, 2020",143.12,155.19,138.37,153.71,141.44,87693300
"Apr 1, 2020",124.13,148.54,121.77,145.84,134.2,132785600
"Mar 26, 2020",0.614 Dividend,,,,,
"Mar 1, 2020",151.41,159.3,109.49,128.91,118.03,269776200
"Feb 1, 2020",164.35,172.56,145.3,150.44,137.75,106039000
"Jan 1, 2020",164.68,169.32,162.83,163.52,149.72,69496000
"Dec 24, 2019",0.886 Dividend,,,,,
"Dec 1, 2019",160.26,164.68,156.38,163.62,149.01,58994500
"Nov 1, 2019",155,160.74,154.92,160.02,145.73,44788200
"Oct 1, 2019",151.5,154.94,144.9,154.18,140.41,54488600
"Sep 16, 2019",0.7 Dividend,,,,,
"Sep 1, 2019",147.99,154.13,147.37,151,136.89,54763000
"Aug 1, 2019",152.29,153.85,143.87,149.04,135.11,70309200
"Jul 1, 2019",151.85,154.51,150.51,152.21,137.98,47958700
"Jun 17, 2019",0.547 Dividend,,,,,
"Jun 1, 2019",140.69,150.94,139.62,150.09,135.56,51269500
"May 1, 2019",150.8,150.87,140.6,140.69,127.07,58560500
"Apr 1, 2019",145.76,150.69,145.59,150.39,135.83,51257400
"Mar 25, 2019",0.772 Dividend,,,,,
"Mar 1, 2019",144.38,146.84,139.92,144.71,130,62211500
